id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,6,18,23,0,20,22
100200,191,141,160,203,117,130
100300,721,706,786,675,955,860
100400,287,391,356,289,350,362
100500,631,550,570,552,385,374
100601,227,234,201,242,250,257
100602,175,253,228,251,218,210
100700,154,129,99,64,106,78
100800,285,122,255,294,233,265
100900,288,263,266,205,93,95
101001,558,564,589,606,652,535
101002,623,498,494,403,282,345
101101,437,359,336,296,328,262
101102,1161,1113,917,973,1051,943
101103,227,415,413,414,377,342
101201,351,427,394,415,292,319
101202,636,399,411,403,422,407
101303,872,1100,1248,1498,1462,1640
101304,463,741,678,755,898,701
101305,464,488,606,596,850,971
101306,571,743,728,853,822,870
101307,248,634,579,621,501,286
101400,1120,1278,1274,1209,1051,1247
101500,1118,1023,911,908,653,738
101600,559,823,897,885,1007,999
101700,807,962,982,884,807,891
101802,1437,1079,1139,1186,1265,1164
101803,775,1107,1198,1341,1272,836
101804,688,850,814,839,820,906
101902,201,368,297,324,291,302
101903,1173,990,935,763,1114,1289
101904,112,421,398,550,548,692
102001,664,554,686,572,691,793
102002,1273,1483,1578,1406,1279,1196
102003,818,776,782,815,840,915
102004,672,678,697,845,955,1045
102005,569,553,667,671,671,722
102006,894,875,935,1046,1268,1415
980100,0,0,0,0,0,0
